user_id,age,gender,city,traffic_source,order_id,status,product_id,product_category,product_name,product_retail_price,dc_name,d_lat,d_long,u_lat,u_long,dc2c_distance,created_at,shipped_at,delivered_at,prep_time,delivery_time,total_time
2480,22,F,Johns Creek,Search,3039,Complete,13998,Accessories,Angelina Double-layer / Microfiber lined Cozy Pilot Cap / Ski Hats with Pompon.,14.98999977,Mobile AL,30.6944,-88.0431,34.02672546,-84.14957605,520.5180041,2024-01-19 05:03:01.000000 UTC,2024-01-21 17:06:00.000000 UTC,2024-01-22 14:59:00.000000 UTC,3602,1313,4915
2644,61,F,McKinney,Search,3226,Complete,13998,Accessories,Angelina Double-layer / Microfiber lined Cozy Pilot Cap / Ski Hats with Pompon.,14.98999977,Mobile AL,30.6944,-88.0431,33.15909888,-96.69423765,860.8772307,2023-12-30 21:43:54.000000 UTC,2023-12-29 15:29:00.000000 UTC,2024-01-01 21:57:00.000000 UTC,-1814,4708,2894
95843,38,F,Fruit Cove,Search,120285,Returned,14180,Accessories,Kipling New Money Deluxe Wallet,34,Mobile AL,30.6944,-88.0431,30.07213158,-81.60314335,621.5178459,2023-07-18 03:32:21.000000 UTC,2023-07-20 15:54:00.000000 UTC,2023-07-23 19:52:00.000000 UTC,3621,4558,8179
49815,57,M,Columbus,Search,62459,Returned,29032,Accessories,Leather in Chicago Mens Trifold Genuine Leather Wallet Cow Hide Id Credit Card Holder,7.989999771,Mobile AL,30.6944,-88.0431,39.95519138,-82.93025244,1128.859971,2023-09-02 21:56:57.000000 UTC,2023-09-01 12:47:00.000000 UTC,2023-09-04 12:49:00.000000 UTC,-1989,4322,2333
38211,41,F,Parker,Search,48054,Returned,14063,Accessories,LibbySue-Classic Cashmere Feel Winter Scarf in Rich Plaids,20,Mobile AL,30.6944,-88.0431,39.48255418,-104.7701836,1804.019236,2023-05-28 09:18:02.000000 UTC,2023-05-25 11:50:00.000000 UTC,2023-05-27 05:30:00.000000 UTC,-4168,2500,-1668
77031,42,F,Parma,Organic,96605,Returned,14063,Accessories,LibbySue-Classic Cashmere Feel Winter Scarf in Rich Plaids,20,Mobile AL,30.6944,-88.0431,41.39074364,-81.73464045,1316.736501,2024-01-19 23:18:04.000000 UTC,2024-01-18 18:18:00.000000 UTC,2024-01-23 06:54:00.000000 UTC,-1740,6516,4776
64444,14,M,Antelope Hills,Facebook,81016,Complete,28502,Accessories,Oakley Antix Iridium Sunglasses,100,Mobile AL,30.6944,-88.0431,43.10191284,-106.3537463,2125.663803,2023-12-18 04:40:17.000000 UTC,2023-12-17 18:56:00.000000 UTC,2023-12-22 08:37:00.000000 UTC,-584,6581,5997
97683,16,M,San Marcos,Organic,122576,Returned,29034,Accessories,Oakley Big Taco Oversized Polarized Sunglasses,119,Mobile AL,30.6944,-88.0431,29.88432601,-97.97709227,957.7430113,2024-01-03 13:06:56.000000 UTC,2024-01-06 10:20:00.000000 UTC,2024-01-08 00:43:00.000000 UTC,4153,2303,6456
66659,62,M,Owasso,Organic,83731,Returned,28630,Accessories,Oakley Men's Dispatch Aviator Sunglasses,90.77999878,Mobile AL,30.6944,-88.0431,36.27953117,-95.81539055,950.8023085,2023-11-06 07:07:08.000000 UTC,2023-11-03 15:12:00.000000 UTC,2023-11-05 02:09:00.000000 UTC,-3835,2097,-1738
37718,44,M,Phoenix,Search,47395,Complete,28622,Accessories,Oakley Men's Dispatch II Square Sunglasses,105,Mobile AL,30.6944,-88.0431,33.44295704,-112.1282664,2284.785182,2023-08-27 14:20:46.000000 UTC,2023-08-28 01:54:00.000000 UTC,2023-08-29 13:30:00.000000 UTC,693,2136,2829
62831,13,M,Baton Rouge,Search,78960,Complete,28625,Accessories,Oakley Men's GasCan Polarized Sunglasses,127.5599976,Mobile AL,30.6944,-88.0431,30.44866372,-91.12505461,296.3138627,2023-11-05 13:07:31.000000 UTC,2023-11-06 11:02:00.000000 UTC,2023-11-10 09:49:00.000000 UTC,1314,5687,7001
39632,22,M,Bell Gardens,Organic,49792,Complete,28617,Accessories,Oakley Men's Holbrook Polarized Rectangular Sunglasses,170,Mobile AL,30.6944,-88.0431,33.96899587,-118.1711735,2843.758402,2023-04-11 04:15:09.000000 UTC,2023-04-13 03:03:00.000000 UTC,2023-04-13 05:57:00.000000 UTC,2807,174,2981
31949,50,M,Fort Collins,Search,40109,Complete,29057,Accessories,Oakley Men's M Frame Replacement Lens,55,Mobile AL,30.6944,-88.0431,40.65478594,-105.0297506,1886.779262,2023-05-05 11:16:52.000000 UTC,2023-05-06 13:42:00.000000 UTC,2023-05-08 15:50:00.000000 UTC,1585,3008,4593
10379,60,M,Bakersfield,Search,13005,Complete,28642,Accessories,Oakley Men's Plaintiff Round Sunglasses,150,Mobile AL,30.6944,-88.0431,35.34378194,-119.0648351,2925.858961,2024-01-18 23:34:32.000000 UTC,2024-01-19 16:57:00.000000 UTC,2024-01-22 08:17:00.000000 UTC,1042,3800,4842
42741,50,M,Cheektowaga,Search,53675,Complete,28590,Accessories,Oakley Men's Whisker Iridium Polarized Sunglasses,200,Mobile AL,30.6944,-88.0431,42.92892377,-78.75226119,1589.751771,2023-06-17 04:44:46.000000 UTC,2023-06-19 12:43:00.000000 UTC,2023-06-22 02:25:00.000000 UTC,3358,3702,7060
28550,35,M,Fayetteville,Search,35852,Complete,28517,Accessories,Titanium Smart Money Clip,29.95000076,Mobile AL,30.6944,-88.0431,35.07407853,-79.04307426,970.692249,2023-11-11 13:58:24.000000 UTC,2023-11-09 03:22:00.000000 UTC,2023-11-12 09:31:00.000000 UTC,-3516,4689,1173
82143,28,F,Deptford,Search,103022,Complete,2873,Active,Bollï¿½ï¿½ï¿½ï¿½ Women's Two Pocket Ten,25,Mobile AL,30.6944,-88.0431,39.82933349,-75.12770865,1548.412431,2024-01-08 00:32:54.000000 UTC,2024-01-05 13:03:00.000000 UTC,2024-01-07 21:59:00.000000 UTC,-3569,3416,-153
50837,15,M,Minneapolis,Search,63748,Returned,18535,Active,Caterpillar Men's Full Zip Hooded Sweatshirt,44.99000168,Mobile AL,30.6944,-88.0431,44.93685774,-93.25390872,1647.572371,2024-01-21 00:14:43.481754 UTC,2024-01-22 02:55:46.481754 UTC,2024-01-25 12:20:46.481754 UTC,1601,4885,6486
93845,70,M,Clifton,Search,117725,Complete,18777,Active,Ibex Men's Shak Lite 1/2 Zip Jacket,135,Mobile AL,30.6944,-88.0431,40.8800506,-74.14472959,1685.56377,2023-12-19 05:41:36.000000 UTC,2023-12-22 02:56:00.000000 UTC,2023-12-24 02:15:00.000000 UTC,4154,2839,6993
15335,55,F,Selma,Search,19275,Complete,3066,Active,Steve Madden Legwear Women's 6 Pack Fashion Low Cut Athletic Herringbone Pattern Sock,14,Mobile AL,30.6944,-88.0431,36.53499187,-119.6458146,2983.410487,2023-10-29 09:50:07.000000 UTC,2023-10-28 23:37:00.000000 UTC,2023-10-29 00:41:00.000000 UTC,-613,64,-549
59048,28,F,Fremont,Facebook,74145,Complete,7900,Blazers & Jackets,Aris A Long Silk Jacket SJ408,79.98999786,Mobile AL,30.6944,-88.0431,41.42967793,-96.49248617,1413.163197,2023-09-24 02:01:32.000000 UTC,2023-09-22 15:19:00.000000 UTC,2023-09-24 14:36:00.000000 UTC,-2082,2837,755
7187,38,F,Niles,Facebook,8989,Complete,7526,Blazers & Jackets,BB Dakota Juniors Suki Jacket,115,Mobile AL,30.6944,-88.0431,42.02813852,-87.81120039,1260.423821,2023-03-05 02:07:17.000000 UTC,2023-03-04 12:36:00.000000 UTC,2023-03-05 09:34:00.000000 UTC,-811,1258,447
75756,27,F,Appleton,Organic,95078,Complete,7470,Blazers & Jackets,Calvin Klein Jeans Women's Clean Fitted Seamed Blazer,99.5,Mobile AL,30.6944,-88.0431,44.28140159,-88.382121,1511.097881,2023-07-29 04:15:54.000000 UTC,2023-07-26 13:48:00.000000 UTC,2023-07-29 22:59:00.000000 UTC,-3747,4871,1124
